TH	1.000000
DDC	1.500000
DBH	1.866025
PNMT	2.000000
SLC18A2	1.500000
NPFF	2.000000
SLC12A7	2.000000
SYT1	2.000000
CHAT	1.707107
SLC18A3	1.500000
ACHE	2.000000
SLC5A7	1.707107
TAC1	1.707107
BRCA1	2.000000
ACLY	2.000000
SLC6A3	2.000000
FOXA2	2.000000
KCNJ6	2.000000
NR4A2	2.000000
LMX1B	2.000000
CACNA2D2	1.866025
CADPS2	2.000000
CHRNA6	2.000000
MAPK8IP2	2.000000
NTN1	2.000000
PRKCG	1.866025
SCN2A	2.000000
TENM1	2.000000
ZIM3	2.000000
NEUROD6	2.000000
SMAD3	2.000000
PITX3	2.000000
HIVEP3	2.000000
PLEKHA5	2.000000
IGF2BP3	2.000000
ARHGAP26	2.000000
TTBK2	2.000000
ASTN1	2.000000
CACNA1E	1.866025
TUB	2.000000
FILIP1	2.000000
GCNT2	1.866025
VEZT	2.000000
RET	2.000000
AHDC1	2.000000
MAP6	2.000000
RGMB	2.000000
FBXO7	2.000000
PPP2R5B	2.000000
SNX21	2.000000
FSTL5	2.000000
LIX1	2.000000
RGS3	2.000000
CYTH3	2.000000
TSHZ1	1.866025
STXBP5	2.000000
ATF5	2.000000
DMKN	2.000000
CACNA1B	2.000000
PIK3CA	2.000000
ZDHHC2	1.866025
MYL1	2.000000
EML5	1.866025
MFSD6	2.000000
SCN7A	1.866025
ARHGEF28	2.000000
HAND2	2.000000
VSTM2L	2.000000
FAM19A5	2.000000
EFNA5	2.000000
HOXB4	2.000000
TLX2	2.000000
GOLGA7B	2.000000
TOX	2.000000
CELF6	2.000000
GPR22	2.000000
PLCE1	2.000000
CYB561	2.000000
GFRA2	2.000000
FLOT2	2.000000
SLC7A14	2.000000
JPH3	2.000000
CASZ1	2.000000
SCN3A	2.000000
CHRNA3	2.000000
PARVA	2.000000
SLC10A4	2.000000
TM4SF4	2.000000
FAM19A1	2.000000
PHOX2B	2.000000
PIRT	1.866025
HOXB5	2.000000
HOXA5	2.000000
GAL	1.866025
CARTPT	2.000000
NMU	2.000000
VIP	1.707107
CCK	1.866025
SLC6A1	2.000000
GABBR2	1.866025
GAD1	1.707107
GADD45B	2.000000
PAX2	1.866025
SLC32A1	1.707107
GAD2	1.866025
SST	1.866025
PVALB	1.707107
TNFAIP8L3	2.000000
SEMA3C	2.000000
MYBPC1	2.000000
PARM1	1.707107
DLX1	1.866025
SLC17A7	1.866025
SLC17A6	1.707107
GRIN1	1.866025
GRIN2B	2.000000
GLS	2.000000
MEIS2	2.000000
SLC17A8	2.000000
SLC1A1	1.866025
SLC1A2	2.000000
SLC1A6	1.866025
SLC6A9	2.000000
PAX6	1.866025
PCLO	2.000000
CUX2	2.000000
SLC12A5	1.707107
POMC	2.000000
STIM2	2.000000
RAX	2.000000
CUL5	2.000000
HIVEP2	1.707107
FUT9	2.000000
TBR1	2.000000
PROX1	2.000000
NTRK3	2.000000
RND2	2.000000
FEZF2	2.000000
SOX5	2.000000
ROBO1	2.000000
EPHA7	2.000000
EPHA3	2.000000
YY2	2.000000
NOTCH3	2.000000
NOTCH1	2.000000
LHX6	1.866025
NES	2.000000
RBFOX3	2.000000
CREB1	2.000000
NEUROD1	2.000000
ASCL1	2.000000
NTRK1	2.000000
SYN1	1.866025
NF1	2.000000
BCL2	2.000000
SLC6A5	2.000000
FOXD2	2.000000
ICAM5	2.000000
SSTR2	2.000000
